pic_id,latitude,longitude,county,region,country
42863478731,61.497003,25.677323,Heinola,Paijanne Tavastia,Finland
26435660738,65.627063,-18.073496,Heinola,Eyjafjardarsysla,Iceland
39897333814,51.506702,11.964430,Stadtkreis Halle,Saxony-Anhalt,Germany
27401667868,37.529017,126.968532,Yongsan-Gu,Seoul,South Korea
41168401392,37.377276,-5.985789,Seville,Andalusia,Spain
28020732999,51.207293,3.226321,Bruges,West-Vlaanderen,Belgium
38964070375,38.712521,-9.134960,Lisbon,Lisbon,Portugal
26489466357,40.898049,-75.892460,Carbon,Pennsylvania,United States
41188424955,45.434833,12.340607,Venice,Veneto,Italy
40382413632,28.355462,-81.402962,Orange,Florida,United States
27769568219,37.547889,127.029848,Orange,Seoul,South Korea
26518109228,45.799037,15.978938,Zagreb County,Grad Zagreb,Croatia
41924992662,35.663990,139.669189,Setagaya-ku,Tokyo Prefecture,Japan
27883983217,43.076952,11.679131,Siena,Tuscany,Italy
42805255411,33.487419,135.794084,Higashimuro-gun,Wakayama Prefecture,Japan
25901436058,37.566487,127.008862,Jongno-Gu,Seoul,South Korea
40031581332,-3.779075,-38.532818,Fortaleza,Ceara,Brazil
41103923484,34.122759,-118.301621,Los Angeles,California,United States
27856187618,49.420931,0.234123,Calvados,Lower Normandy,France
28009278147,-27.463385,153.035387,Brisbane,Queensland,Australia
39596370455,41.655214,-0.876889,Zaragoza,Aragon,Spain
26310943307,43.214997,5.461063,Bouches-du-Rhone,Provence-Alpes-Cote d'Azur,France
41495952224,53.546051,9.971041,Stadtkreis Hamburg,Hamburg,Germany
40973810532,48.912064,8.912744,Ludwigsburg,Baden-Wurttemberg,Germany
39844352324,47.561563,13.648806,Gmunden District,Upper Austria,Austria
40976056654,34.088805,-118.316788,Los Angeles,California,United States
42745862941,41.888397,-87.624936,Cook,Illinois,United States
39330182755,55.750690,37.630233,Moskva Raion,Moscow Federal City,Russia
42132118744,61.496369,25.675960,Heinola,Paijanne Tavastia,Finland
39954202172,47.267902,-122.470092,Pierce,Washington,United States
41719417762,40.523468,-3.088510,Guadalajara,Castille la Mancha,Spain
40359099715,45.550440,-122.681429,Multnomah,Oregon,United States
42366758992,38.174242,23.277111,Attica,Attica,Greece
42412954322,56.095388,-4.556332,Stirling,Scotland,United Kingdom
26241008898,52.221963,20.977020,Warsaw,Masovian,Poland
41209394474,19.433487,-99.149231,Warsaw,Distrito Federal,Mexico
40092604415,38.713224,-9.133565,Lisbon,Lisbon,Portugal
39490564760,42.212237,-8.912712,Pontevedra,Galicia,Spain
39003663674,52.514314,13.407397,Berlin,Berlin,Germany
26885099568,52.380039,4.642117,Haarlem,North Holland,Netherlands
42382918191,35.896142,14.509098,Isla,Malta Xlokk,Malta
41216319104,53.546121,10.002084,Stadtkreis Hamburg,Hamburg,Germany
42512592652,48.860677,2.337144,Paris,Ile-de-France,France
40462927292,43.649940,-79.380804,Toronto,Ontario,Canada
39618219755,37.547483,127.029332,Toronto,Seoul,South Korea
26676663587,48.218235,16.351297,Vienna,Vienna,Austria
41891244152,37.356811,-118.395271,Inyo,California,United States
41547448432,51.451867,20.475082,Opoczno County,Lodz,Poland
25514355217,13.741573,100.507746,Opoczno County,Bangkok,Thailand
41760962851,40.841193,14.246113,Naples,Campania,Italy
27625818578,55.749965,37.629804,Moskva Raion,Moscow Federal City,Russia
39733906614,39.453625,-0.363235,Valencia,Valencia,Spain
27689723298,42.685960,23.319103,Sofiya,Sofiya-Grad,Bulgaria
28338167219,57.144947,-2.108741,Aberdeen City,Scotland,United Kingdom
40905384804,50.464406,4.878530,Namur,Namur,Belgium
39916823275,46.483338,30.731077,Namur,Odessa Oblast,Ukraine
25932701188,57.142375,-2.069678,Aberdeen City,Scotland,United Kingdom
38488849810,51.205068,3.227212,Bruges,West-Vlaanderen,Belgium
39767292001,42.221958,-73.869842,Greene,New York,United States
40668424424,35.897377,14.512583,Isla,Malta Xlokk,Malta
28677720308,41.864599,-87.635235,Cook,Illinois,United States
25100221427,63.410822,-19.126338,Cook,Vestur-Skaftafellssysla,Iceland
27942021868,50.086734,14.410457,Prague,Prague,Czech Republic
28028350388,49.273984,-123.106076,Greater Vancouver,British Columbia,Canada
39326943554,41.899312,12.452230,Rome,Lazio,Italy
39239012000,40.035316,-2.144908,Cuenca,Castille la Mancha,Spain
38803861900,40.782751,-73.959703,Manhattan,New York,United States
27966825617,-20.343952,148.849414,Manhattan,Queensland,Australia
27408090847,40.748504,-73.985774,Manhattan,New York,United States
40648499811,39.902931,-75.059089,Camden,New Jersey,United States
41983838515,48.855101,2.288138,Paris,Ile-de-France,France
26825824688,52.344380,4.642680,Haarlem,North Holland,Netherlands
38686040100,48.429627,0.083298,Orne,Lower Normandy,France
24624316597,25.195563,55.275800,Dubai,Dubai,United Arab Emirates
41624398362,51.571575,7.149953,Landkreis Recklinghausen,North Rhine-Westphalia,Germany
27654125588,34.980493,135.748647,Landkreis Recklinghausen,Kyoto Prefecture,Japan
25339995377,47.255262,-122.440867,Pierce,Washington,United States
39595217174,47.393592,8.492968,Zurich,Canton of Zurich,Switzerland
41637282184,39.218087,9.114607,Cagliari,Sardinia,Italy
38883511894,45.434117,12.341508,Venice,Veneto,Italy
38565824230,50.075430,14.418976,Prague,Prague,Czech Republic
26899025337,-33.850254,151.211796,Prague,New South Wales,Australia
28056817948,45.166896,-85.246224,Antrim,Michigan,United States
39076817465,46.230899,7.269194,Conthey,Canton of Valais,Switzerland
41948929872,47.572819,13.982849,Liezen District,Styria,Austria
40429500552,49.030440,12.078781,Ratisbon,Bavaria,Germany
38923492275,57.154725,-2.140220,Aberdeen City,Scotland,United Kingdom
39609026750,-27.944127,151.670448,Toowoomba Regional,Queensland,Australia
42192613081,40.704855,-73.990194,Brooklyn,New York,United States
38837549904,58.098202,0.192260,Brooklyn,New York,United States
38987286375,46.511477,-84.339852,Algoma,Ontario,Canada
40289412122,52.365969,4.896243,Amsterdam,North Holland,Netherlands
24954474507,57.154725,-2.140220,Aberdeen City,Scotland,United Kingdom
41562373994,50.089102,14.411187,Prague,Prague,Czech Republic
41092351785,48.860977,2.336099,Paris,Ile-de-France,France
26353846498,44.971365,-93.276951,Hennepin,Minnesota,United States
27714869218,35.714662,139.796760,Taito-ku,Tokyo Prefecture,Japan
41349177595,48.893008,2.392541,Paris,Ile-de-France,France
28088260389,46.511477,-84.339852,Algoma,Ontario,Canada
40194954480,55.934563,-3.473696,West Lothian,Scotland,United Kingdom
40435051911,50.093570,14.412571,Prague,Prague,Czech Republic
39230535614,51.518824,-0.084113,Greater London,England,United Kingdom
39180663844,57.148830,-2.096865,Aberdeen City,Scotland,United Kingdom
39929876684,53.335100,-2.992123,Merseyside,England,United Kingdom
38790493294,51.508144,-0.079998,Greater London,England,United Kingdom
41668135051,42.016396,-2.064936,Rioja,La Rioja,Spain
40808794154,45.455732,-73.632709,Montreal,Quebec,Canada
28216123678,50.738960,7.091041,Stadtkreis Bonn,North Rhine-Westphalia,Germany
41169872984,18.555673,73.797431,Pune,Maharashtra,India
39749309031,40.690253,-74.045619,Manhattan,New York,United States
39931703274,40.762633,-73.982995,Manhattan,New York,United States
40115084381,43.742421,7.427819,Alpes-Maritimes,Provence-Alpes-Cote d'Azur,France
42108814784,40.897935,-75.892664,Carbon,Pennsylvania,United States
42201799012,40.759423,-73.984980,Manhattan,New York,United States
41343396662,-41.326673,148.249511,Break Oday,Tasmania,Australia
