pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
42516031742,PENTAX,PENTAX K-5 II,20.0,16.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.0,sRGB,smc PENTAX-DA 18-135mm F3.5-5.6 ED AL[IF] DC WR
27649859057,NIKON CORPORATION,NIKON D750,5.0,13.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,17.0-35.0 mm f/4.0
41155315925,Canon,Canon EOS 5D Mark III,0.1,8.0,Manual,500.0,Multi-segment,"Off, Did not fire",31.0,Uncalibrated,EF16-35mm f/2.8L II USM
40547247520,Canon,Canon EOS 5D Mark III,0.1,8.0,Manual,500.0,Multi-segment,"Off, Did not fire",31.0,Uncalibrated,EF16-35mm f/2.8L II USM
41513259872,Canon,Canon EOS 5D Mark III,0.1,8.0,Manual,500.0,Multi-segment,"Off, Did not fire",31.0,sRGB,EF16-35mm f/2.8L II USM
42309504092,OLYMPUS IMAGING CORP.,E-M5MarkII,2.5,11.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",12.0,sRGB,OLYMPUS M.12-50mm F3.5-6.3
40937678305,SONY,NEX-5T,0.05,3.5,Aperture-priority AE,1600.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,E PZ 16-50mm F3.5-5.6 OSS
39970273982,NIKON CORPORATION,NIKON D7000,0.00625,4.0,Manual,640.0,Multi-segment,"Off, Did not fire",38.0,Uncalibrated,24.0-70.0 mm f/2.8
41951432344,SONY,ILCE-6000,25.0,4.0,Manual,2000.0,Multi-segment,"Off, Did not fire",38.0,sRGB,----
42051799574,OLYMPUS IMAGING CORP.,E-M5MarkII,1.6,9.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",12.0,sRGB,OLYMPUS M.12-50mm F3.5-6.3
42030002212,NIKON,COOLPIX P610,8.0,5.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",9.0,sRGB,OLYMPUS M.12-50mm F3.5-6.3
42659720812,Leica Camera AG,LEICA M (Typ 240),0.08333333333333333,3.5,Aperture-priority AE,4000.0,Center-weighted average,No Flash,21.0,sRGB,Super-Elmar-M 1:3.4/21 ASPH.
40095740830,Canon,Canon EOS 7D,52.0,22.0,Bulb,100.0,Multi-segment,"Off, Did not fire",17.0,sRGB,EF-S17-55mm f/2.8 IS USM
41162380950,NIKON CORPORATION,NIKON D5100,0.125,3.5,Not Defined,3200.0,Multi-segment,"Off, Did not fire",16.3,sRGB,EF-S17-55mm f/2.8 IS USM
27164744237,SONY,DSLR-A390,0.04,3.5,Auto,400.0,Unknown (0),"Off, Did not fire",18.0,Unknown (0),EF-S17-55mm f/2.8 IS USM
40434189650,NIKON CORPORATION,NIKON D800E,10.0,2.0,Manual,3200.0,Multi-segment,"Off, Did not fire",20.0,Unknown (0),20.0 mm f/1.8
41884205192,LEICA,D-LUX (Typ 109),0.03333333333333333,1.7,Program AE,3200.0,Multi-segment,"Off, Did not fire",10.9,sRGB,20.0 mm f/1.8
42835427952,NIKON CORPORATION,NIKON D5300,0.125,10.0,Manual,100.0,Multi-segment,No Flash,12.0,sRGB,11.0-16.0 mm f/2.8
28005528798,NIKON CORPORATION,NIKON D3100,30.0,11.0,Shutter speed priority AE,100.0,Multi-segment,No Flash,18.0,sRGB,18.0-55.0 mm f/3.5-5.6
42955172501,NIKON CORPORATION,NIKON D3100,0.008333333333333333,2.2,Shutter speed priority AE,100.0,Multi-segment,No Flash,4.2,sRGB,18.0-55.0 mm f/3.5-5.6
25702577408,Canon,Canon EOS 6D,20.0,14.0,Manual,25600.0,Multi-segment,"Off, Did not fire",15.0,Uncalibrated,15mm
40674095472,FUJIFILM,X30,1.3,5.0,Aperture-priority AE,200.0,Spot,"Off, Did not fire",26.6,Uncalibrated,15mm
25564239518,FUJIFILM,X30,1.3,5.0,Aperture-priority AE,200.0,Spot,"Off, Did not fire",26.6,Uncalibrated,15mm
39000527575,SONY,ILCA-68,1.6,4.5,Shutter speed priority AE,3200.0,Multi-segment,"Off, Did not fire",45.0,sRGB,DT 18-250mm F3.5-6.3
39890616150,SONY,ILCA-68,1.6,4.5,Shutter speed priority AE,3200.0,Multi-segment,"Off, Did not fire",45.0,sRGB,DT 18-250mm F3.5-6.3
40734257384,Canon,Canon EOS 60D,0.0015625,5.6,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",92.0,sRGB,EF-S18-135mm f/3.5-5.6 IS
41432446275,Canon,NIKON D7000,0.000625,2.8,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",11.0,sRGB,EF-S18-135mm f/3.5-5.6 IS
42932873161,NIKON CORPORATION,NIKON D700,8.0,5.6,Manual,250.0,Spot,No Flash,17.0,sRGB,EF-S18-135mm f/3.5-5.6 IS
25785124308,SONY,DSC-HX9V,1.0,5.0,Program AE,400.0,Center-weighted average,"Off, Did not fire",27.9,sRGB,EF-S18-135mm f/3.5-5.6 IS
28812735408,Canon,Canon EOS 7D,15.0,4.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",16.0,sRGB,EF-S18-135mm f/3.5-5.6 IS
28181345639,samsung,SM-N910F,0.125,2.2,Program AE,1250.0,Center-weighted average,No Flash,4.6,sRGB,EF-S18-135mm f/3.5-5.6 IS
26968562038,Canon,Canon EOS 7D,37.0,2.8,Bulb,100.0,Multi-segment,"Off, Did not fire",55.0,sRGB,EF-S17-55mm f/2.8 IS USM
41913169832,NIKON CORPORATION,NIKON D750,0.02,5.6,Aperture-priority AE,6400.0,Multi-segment,"Off, Did not fire",300.0,Uncalibrated,28.0-300.0 mm f/3.5-5.6
39236131664,NIKON CORPORATION,NIKON D810,56.0,2.8,Manual,2500.0,Multi-segment,"Off, Did not fire",14.0,Uncalibrated,14.0-24.0 mm f/2.8
26653989537,SONY,SLT-A77V,4.0,4.5,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,24-105mm F3.5-4.5
39712942851,Canon,Canon EOS 5D Mark III,30.0,18.0,Manual,250.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,EF24-105mm f/4L IS USM
41996716122,NIKON CORPORATION,NIKON D850,30.0,16.0,Aperture-priority AE,125.0,Center-weighted average,No Flash,24.0,sRGB,14.0-24.0 mm f/2.8
39105990794,NIKON CORPORATION,NIKON D7100,0.05,2.8,Manual,2500.0,Multi-segment,"Off, Did not fire",50.0,sRGB,17.0-50.0 mm f/2.8
42335484132,SAMSUNG,NX1,0.008,4.5,Aperture-priority AE,2500.0,Multi-segment,No Flash,85.0,sRGB,NX 85mm F1.4
39666008830,SAMSUNG,NX1,0.008,4.5,Aperture-priority AE,2500.0,Multi-segment,No Flash,85.0,sRGB,NX 85mm F1.4
41971501075,SONY,ILCE-6300,1.5,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",24.0,sRGB,FE 24-105mm F4 G OSS
28480621668,FUJIFILM,X-T1,0.016666666666666666,1.8,Manual,1600.0,Average,"Off, Did not fire",35.0,sRGB,XF35mmF1.4 R
42062560364,Canon,Canon EOS 5D Mark IV,30.0,13.0,Aperture-priority AE,100.0,Center-weighted average,"Off, Did not fire",24.0,sRGB,EF24-105mm f/4L IS USM
41214303144,FUJIFILM,X-T2,0.002,11.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",10.5,sRGB,XF10-24mmF4 R OIS
28229158778,Canon,Canon EOS 6D,30.0,22.0,Aperture-priority AE,200.0,Spot,"Off, Did not fire",15.0,sRGB,15mm
39425735862,SONY,ILCE-6000,2.5,8.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,sRGB,E PZ 16-50mm F3.5-5.6 OSS
39859755281,Canon,Canon EOS 7D,30.0,16.0,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",28.0,sRGB,E PZ 16-50mm F3.5-5.6 OSS
26773675587,FUJIFILM,X-T2,20.0,1.0,Manual,6400.0,Average,No Flash,50.0,sRGB,50.0 mm
41397617992,FUJIFILM,X-T2,20.0,1.0,Manual,6400.0,Average,No Flash,50.0,sRGB,50.0 mm
40996354985,Canon,Canon EOS 50D,0.0125,6.3,Shutter speed priority AE,125.0,Partial,"Off, Did not fire",300.0,Uncalibrated,EF75-300mm f/4-5.6
